;Longitude;Latitude;Data;Direcao_Verif
278;-42.75;-14.25;2017-01-12 14:00:00;141.5
279;-42.75;-14.25;2017-01-12 15:00:00;121.5335
280;-42.75;-14.25;2017-01-12 16:00:00;109.8665
281;-42.75;-14.25;2017-01-12 17:00:00;73.1165
282;-42.75;-14.25;2017-01-12 18:00:00;79.61699999999999
283;-42.75;-14.25;2017-01-12 19:00:00;59.4335
284;-42.75;-14.25;2017-01-12 20:00:00;32.95
285;-42.75;-14.25;2017-01-12 21:00:00;240.3835
286;-42.75;-14.25;2017-01-12 22:00:00;301.0335
287;-42.75;-14.25;2017-01-12 23:00:00;246.517
288;-42.75;-14.25;2017-01-13 00:00:00;284.4
289;-42.75;-14.25;2017-01-13 01:00:00;275.9665
290;-42.75;-14.25;2017-01-13 02:00:00;234.1165
291;-42.75;-14.25;2017-01-13 03:00:00;170.13299999999998
292;-42.75;-14.25;2017-01-13 04:00:00;134.85000000000002
293;-42.75;-14.25;2017-01-13 05:00:00;132.15
294;-42.75;-14.25;2017-01-13 06:00:00;128.8335
295;-42.75;-14.25;2017-01-13 07:00:00;133.60000000000002
296;-42.75;-14.25;2017-01-13 08:00:00;127.86699999999999
297;-42.75;-14.25;2017-01-13 09:00:00;129.65
298;-42.75;-14.25;2017-01-13 10:00:00;132.9835
299;-42.75;-14.25;2017-01-13 11:00:00;137.017
300;-42.75;-14.25;2017-01-13 12:00:00;139.6
301;-42.75;-14.25;2017-01-13 13:00:00;144.61700000000002
302;-42.75;-14.25;2017-01-13 14:00:00;128.28300000000002
303;-42.75;-14.25;2017-01-13 15:00:00;149.85
304;-42.75;-14.25;2017-01-13 16:00:00;149.85000000000002
305;-42.75;-14.25;2017-01-13 17:00:00;154.0165
306;-42.75;-14.25;2017-01-13 18:00:00;139.18349999999998
307;-42.75;-14.25;2017-01-13 19:00:00;127.23349999999999
308;-42.75;-14.25;2017-01-13 20:00:00;129.4665
309;-42.75;-14.25;2017-01-13 21:00:00;130.18349999999998
310;-42.75;-14.25;2017-01-13 22:00:00;130.96699999999998
311;-42.75;-14.25;2017-01-13 23:00:00;120.26650000000001
312;-42.75;-14.25;2017-01-14 00:00:00;114.3835
313;-42.75;-14.25;2017-01-14 01:00:00;113.533
314;-42.75;-14.25;2017-01-14 02:00:00;116.11699999999999
315;-42.75;-14.25;2017-01-14 03:00:00;117.3
316;-42.75;-14.25;2017-01-14 04:00:00;116.9
317;-42.75;-14.25;2017-01-14 05:00:00;113.0
318;-42.75;-14.25;2017-01-14 06:00:00;118.7
319;-42.75;-14.25;2017-01-14 07:00:00;127.5
320;-42.75;-14.25;2017-01-14 08:00:00;136.38299999999998
321;-42.75;-14.25;2017-01-14 09:00:00;120.1
322;-42.75;-14.25;2017-01-14 10:00:00;122.983
323;-42.75;-14.25;2017-01-14 11:00:00;118.7165
324;-42.75;-14.25;2017-01-14 12:00:00;145.3835
325;-42.75;-14.25;2017-01-14 13:00:00;136.33350000000002
326;-42.75;-14.25;2017-01-14 14:00:00;171.88350000000003
327;-42.75;-14.25;2017-01-14 15:00:00;321.9665
328;-42.75;-14.25;2017-01-14 16:00:00;331.7665
329;-42.75;-14.25;2017-01-14 17:00:00;308.533
330;-42.75;-14.25;2017-01-14 18:00:00;314.2665
331;-42.75;-14.25;2017-01-14 19:00:00;284.5835
332;-42.75;-14.25;2017-01-14 20:00:00;284.29999999999995
333;-42.75;-14.25;2017-01-14 21:00:00;291.8835
334;-42.75;-14.25;2017-01-14 22:00:00;280.5165
