;Longitude;Latitude;Valor_Pressao;Data
368;-42.75;-14.25;1011.65;2017-01-16 08:00:00
369;-42.75;-14.25;1012.31;2017-01-16 09:00:00
370;-42.75;-14.25;1013.22;2017-01-16 10:00:00
371;-42.75;-14.25;1013.29;2017-01-16 11:00:00
372;-42.75;-14.25;1013.03;2017-01-16 12:00:00
373;-42.75;-14.25;1012.71;2017-01-16 13:00:00
374;-42.75;-14.25;1012.29;2017-01-16 14:00:00
375;-42.75;-14.25;1011.67;2017-01-16 15:00:00
376;-42.75;-14.25;1010.56;2017-01-16 16:00:00
377;-42.75;-14.25;1009.49;2017-01-16 17:00:00
378;-42.75;-14.25;1008.05;2017-01-16 18:00:00
379;-42.75;-14.25;1007.4;2017-01-16 19:00:00
380;-42.75;-14.25;1007.11;2017-01-16 20:00:00
381;-42.75;-14.25;1007.51;2017-01-16 21:00:00
382;-42.75;-14.25;1008.64;2017-01-16 22:00:00
383;-42.75;-14.25;1008.96;2017-01-16 23:00:00
384;-42.75;-14.25;1009.97;2017-01-17 00:00:00
385;-42.75;-14.25;1010.79;2017-01-17 01:00:00
386;-42.75;-14.25;1011.39;2017-01-17 02:00:00
387;-42.75;-14.25;1011.48;2017-01-17 03:00:00
388;-42.75;-14.25;1011.68;2017-01-17 04:00:00
389;-42.75;-14.25;1011.47;2017-01-17 05:00:00
390;-42.75;-14.25;1011.6;2017-01-17 06:00:00
391;-42.75;-14.25;1011.79;2017-01-17 07:00:00
392;-42.75;-14.25;1012.16;2017-01-17 08:00:00
393;-42.75;-14.25;1012.85;2017-01-17 09:00:00
394;-42.75;-14.25;1013.53;2017-01-17 10:00:00
395;-42.75;-14.25;1013.58;2017-01-17 11:00:00
396;-42.75;-14.25;1013.24;2017-01-17 12:00:00
397;-42.75;-14.25;1013.04;2017-01-17 13:00:00
398;-42.75;-14.25;1012.3;2017-01-17 14:00:00
399;-42.75;-14.25;1011.47;2017-01-17 15:00:00
400;-42.75;-14.25;1010.31;2017-01-17 16:00:00
401;-42.75;-14.25;1009.19;2017-01-17 17:00:00
402;-42.75;-14.25;1008.31;2017-01-17 18:00:00
403;-42.75;-14.25;1007.36;2017-01-17 19:00:00
404;-42.75;-14.25;1007.28;2017-01-17 20:00:00
405;-42.75;-14.25;1007.48;2017-01-17 21:00:00
406;-42.75;-14.25;1007.69;2017-01-17 22:00:00
407;-42.75;-14.25;1008.42;2017-01-17 23:00:00
408;-42.75;-14.25;1009.52;2017-01-18 00:00:00
409;-42.75;-14.25;1010.44;2017-01-18 01:00:00
410;-42.75;-14.25;1010.48;2017-01-18 02:00:00
411;-42.75;-14.25;1010.88;2017-01-18 03:00:00
412;-42.75;-14.25;1010.76;2017-01-18 04:00:00
413;-42.75;-14.25;1010.88;2017-01-18 05:00:00
414;-42.75;-14.25;1011.09;2017-01-18 06:00:00
415;-42.75;-14.25;1011.15;2017-01-18 07:00:00
416;-42.75;-14.25;1011.97;2017-01-18 08:00:00
417;-42.75;-14.25;1012.55;2017-01-18 09:00:00
418;-42.75;-14.25;1013.46;2017-01-18 10:00:00
419;-42.75;-14.25;1013.33;2017-01-18 11:00:00
420;-42.75;-14.25;1013.74;2017-01-18 12:00:00
421;-42.75;-14.25;1013.39;2017-01-18 13:00:00
422;-42.75;-14.25;1012.72;2017-01-18 14:00:00
423;-42.75;-14.25;1012.1;2017-01-18 15:00:00
424;-42.75;-14.25;1010.98;2017-01-18 16:00:00
425;-42.75;-14.25;1010.07;2017-01-18 17:00:00
426;-42.75;-14.25;1009.11;2017-01-18 18:00:00
427;-42.75;-14.25;1008.56;2017-01-18 19:00:00
428;-42.75;-14.25;1008.59;2017-01-18 20:00:00
429;-42.75;-14.25;1008.81;2017-01-18 21:00:00
430;-42.75;-14.25;1009.81;2017-01-18 22:00:00
431;-42.75;-14.25;1010.26;2017-01-18 23:00:00
432;-42.75;-14.25;1010.86;2017-01-19 00:00:00
433;-42.75;-14.25;1011.54;2017-01-19 01:00:00
434;-42.75;-14.25;1011.35;2017-01-19 02:00:00
435;-42.75;-14.25;1011.77;2017-01-19 03:00:00
436;-42.75;-14.25;1011.67;2017-01-19 04:00:00
437;-42.75;-14.25;1011.76;2017-01-19 05:00:00
438;-42.75;-14.25;1011.9;2017-01-19 06:00:00
439;-42.75;-14.25;1012.06;2017-01-19 07:00:00
440;-42.75;-14.25;1012.78;2017-01-19 08:00:00
441;-42.75;-14.25;1013.28;2017-01-19 09:00:00
442;-42.75;-14.25;1014.45;2017-01-19 10:00:00
443;-42.75;-14.25;1014.9;2017-01-19 11:00:00
444;-42.75;-14.25;1014.93;2017-01-19 12:00:00
445;-42.75;-14.25;1014.9;2017-01-19 13:00:00
446;-42.75;-14.25;1014.05;2017-01-19 14:00:00
447;-42.75;-14.25;1013.62;2017-01-19 15:00:00
448;-42.75;-14.25;1012.33;2017-01-19 16:00:00
449;-42.75;-14.25;1011.11;2017-01-19 17:00:00
450;-42.75;-14.25;1010.31;2017-01-19 18:00:00
451;-42.75;-14.25;1010.15;2017-01-19 19:00:00
452;-42.75;-14.25;1010.03;2017-01-19 20:00:00
453;-42.75;-14.25;1010.18;2017-01-19 21:00:00
454;-42.75;-14.25;1010.35;2017-01-19 22:00:00
455;-42.75;-14.25;1011.13;2017-01-19 23:00:00
456;-42.75;-14.25;1010.87;2017-01-20 00:00:00
457;-42.75;-14.25;1011.68;2017-01-20 01:00:00
458;-42.75;-14.25;1012.66;2017-01-20 02:00:00
459;-42.75;-14.25;1013.32;2017-01-20 03:00:00
460;-42.75;-14.25;1013.58;2017-01-20 04:00:00
461;-42.75;-14.25;1013.68;2017-01-20 05:00:00
462;-42.75;-14.25;1013.62;2017-01-20 06:00:00
