;Longitude;Latitude;Data;pressao_Verif
403;-42.75;-14.25;2017-01-17 19:00:00;880.0
404;-42.75;-14.25;2017-01-17 20:00:00;880.5
405;-42.75;-14.25;2017-01-17 21:00:00;881.0
406;-42.75;-14.25;2017-01-17 22:00:00;881.0
407;-42.75;-14.25;2017-01-17 23:00:00;881.0
408;-42.75;-14.25;2017-01-18 00:00:00;881.0
409;-42.75;-14.25;2017-01-18 01:00:00;880.83
410;-42.75;-14.25;2017-01-18 02:00:00;880.5
411;-42.75;-14.25;2017-01-18 03:00:00;880.33
412;-42.75;-14.25;2017-01-18 04:00:00;881.0
413;-42.75;-14.25;2017-01-18 05:00:00;881.17
414;-42.75;-14.25;2017-01-18 06:00:00;882.0
415;-42.75;-14.25;2017-01-18 07:00:00;882.83
416;-42.75;-14.25;2017-01-18 08:00:00;883.0
417;-42.75;-14.25;2017-01-18 09:00:00;883.67
418;-42.75;-14.25;2017-01-18 10:00:00;884.0
419;-42.75;-14.25;2017-01-18 11:00:00;883.83
420;-42.75;-14.25;2017-01-18 12:00:00;883.0
421;-42.75;-14.25;2017-01-18 13:00:00;882.83
422;-42.75;-14.25;2017-01-18 14:00:00;882.0
423;-42.75;-14.25;2017-01-18 15:00:00;881.83
424;-42.75;-14.25;2017-01-18 16:00:00;881.17
425;-42.75;-14.25;2017-01-18 17:00:00;881.67
426;-42.75;-14.25;2017-01-18 18:00:00;882.0
427;-42.75;-14.25;2017-01-18 19:00:00;882.0
428;-42.75;-14.25;2017-01-18 20:00:00;882.17
429;-42.75;-14.25;2017-01-18 21:00:00;883.0
430;-42.75;-14.25;2017-01-18 22:00:00;883.0
431;-42.75;-14.25;2017-01-18 23:00:00;883.0
432;-42.75;-14.25;2017-01-19 00:00:00;882.33
433;-42.75;-14.25;2017-01-19 01:00:00;882.0
434;-42.75;-14.25;2017-01-19 02:00:00;882.0
435;-42.75;-14.25;2017-01-19 03:00:00;882.0
436;-42.75;-14.25;2017-01-19 04:00:00;882.0
437;-42.75;-14.25;2017-01-19 05:00:00;882.5
438;-42.75;-14.25;2017-01-19 06:00:00;883.0
439;-42.75;-14.25;2017-01-19 07:00:00;883.5
440;-42.75;-14.25;2017-01-19 08:00:00;884.17
441;-42.75;-14.25;2017-01-19 09:00:00;885.0
442;-42.75;-14.25;2017-01-19 10:00:00;885.0
443;-42.75;-14.25;2017-01-19 11:00:00;884.83
444;-42.75;-14.25;2017-01-19 12:00:00;884.0
445;-42.75;-14.25;2017-01-19 13:00:00;884.0
446;-42.75;-14.25;2017-01-19 14:00:00;883.0
447;-42.75;-14.25;2017-01-19 15:00:00;882.5
448;-42.75;-14.25;2017-01-19 16:00:00;882.0
449;-42.75;-14.25;2017-01-19 17:00:00;882.0
450;-42.75;-14.25;2017-01-19 18:00:00;882.0
451;-42.75;-14.25;2017-01-19 19:00:00;882.33
452;-42.75;-14.25;2017-01-19 20:00:00;883.0
453;-42.75;-14.25;2017-01-19 21:00:00;883.17
454;-42.75;-14.25;2017-01-19 22:00:00;884.0
455;-42.75;-14.25;2017-01-19 23:00:00;884.0
456;-42.75;-14.25;2017-01-20 00:00:00;883.67
457;-42.75;-14.25;2017-01-20 01:00:00;883.0
458;-42.75;-14.25;2017-01-20 02:00:00;883.0
459;-42.75;-14.25;2017-01-20 03:00:00;883.0
460;-42.75;-14.25;2017-01-20 04:00:00;883.0
461;-42.75;-14.25;2017-01-20 05:00:00;884.0
462;-42.75;-14.25;2017-01-20 06:00:00;884.0
463;-42.75;-14.25;2017-01-20 07:00:00;884.5
464;-42.75;-14.25;2017-01-20 08:00:00;885.0
465;-42.75;-14.25;2017-01-20 09:00:00;885.17
466;-42.75;-14.25;2017-01-20 10:00:00;885.5
467;-42.75;-14.25;2017-01-20 11:00:00;885.0
468;-42.75;-14.25;2017-01-20 12:00:00;885.0
