;Longitude;Latitude;Data;VentoC;Pressao;Temperatura;DirecaoVento
186;-42.75;-14.25;2017-01-08 18:00:00;6.595;881.666;24.333;84.67
187;-42.75;-14.25;2017-01-08 19:00:00;5.663;882.0;23.883;80.95
188;-42.75;-14.25;2017-01-08 20:00:00;6.966;882.0;23.166;90.38
189;-42.75;-14.25;2017-01-08 21:00:00;6.726;882.334;21.883;78.42
190;-42.75;-14.25;2017-01-08 22:00:00;6.733;883.0;20.3;81.72
191;-42.75;-14.25;2017-01-08 23:00:00;7.959;883.0;19.284;108.3
192;-42.75;-14.25;2017-01-09 00:00:00;8.226;882.666;18.4;122.43
193;-42.75;-14.25;2017-01-09 01:00:00;8.942;882.0;17.784;118.83
194;-42.75;-14.25;2017-01-09 02:00:00;7.886;881.834;17.35;116.6
195;-42.75;-14.25;2017-01-09 03:00:00;7.61;881.5;17.0;121.4
196;-42.75;-14.25;2017-01-09 04:00:00;7.445;882.0;16.784;123.35
197;-42.75;-14.25;2017-01-09 05:00:00;7.79;882.0;16.583;120.8
198;-42.75;-14.25;2017-01-09 06:00:00;8.184;882.834;16.466;121.07
199;-42.75;-14.25;2017-01-09 07:00:00;7.712;883.0;16.733;119.38
200;-42.75;-14.25;2017-01-09 08:00:00;6.977;883.666;18.1;111.4
201;-42.75;-14.25;2017-01-09 09:00:00;6.797;884.0;19.334;113.85
202;-42.75;-14.25;2017-01-09 10:00:00;6.442;884.0;20.95;118.62
203;-42.75;-14.25;2017-01-09 11:00:00;5.639;884.0;22.566;128.4
204;-42.75;-14.25;2017-01-09 12:00:00;4.685;883.166;24.133;129.6
205;-42.75;-14.25;2017-01-09 13:00:00;4.406;882.5;25.716;151.3
206;-42.75;-14.25;2017-01-09 14:00:00;4.774;881.834;26.434;177.77
207;-42.75;-14.25;2017-01-09 15:00:00;5.102;881.0;26.834;140.98
208;-42.75;-14.25;2017-01-09 16:00:00;4.17;881.0;27.0;139.1
209;-42.75;-14.25;2017-01-09 17:00:00;2.818;881.0;26.95;109.73
210;-42.75;-14.25;2017-01-09 18:00:00;2.665;881.0;26.2;80.22
